project_number,project_title,description,po_number,client,project_manager,price_type,total_value,balance_remaining,hours_remaining,billed_pct,hours_input,class_unit,site_location,start_date,end_date,status,last_updated,notes
EP-26001,PLC-5 to ControlLogix Migration,"Migrate legacy PLC-5 processors to ControlLogix platform on the main assembly line, including I/O conversion and HMI updates.",,Eli Lilly,R. Patel,T&E,182000,,,,,Automation,Kokomo East,2026-05-03,,pre_approved,2026-01-15,Pending PO
EP-26002,SCADA System Upgrade,Upgrade plant-wide SCADA from Wonderware 2014 to AVEVA System Platform with redundant servers and historian integration.,,Magna Drivetrain,S. Reyes,Fixed,758000,,,,,Service,Princeton Facility,2026-04-19,,pre_approved,2026-01-15,Pending PO
EP-26003,Robotic Weld Cell Install,"Install two FANUC robotic weld cells with safety fencing, tooling fixtures, and integration to existing line PLC.",,Cummins,M. Chen,Fixed,139000,,,,,Automation,Greenfield Site,2026-03-26,,pre_approved,2026-03-15,Pending PO
EP-26004,Conveyor Retrofit Line 4,"Retrofit Line 4 conveyors with VFD-driven motors, new photo-eyes, and updated controls logic for variable speed zones.",,Toyota Boshoku,T. Nguyen,T&E,761000,,,,,Service,Kokomo East,2026-02-25,,pre_approved,2026-01-15,Pending PO
EP-26005,Palletizer Controls Rebuild,"Rebuild end-of-line palletizer control panel, replace obsolete drives, and reprogram for new case patterns.",,Subaru Indiana,M. Chen,T&E,313000,,,,,Automation,Princeton Facility,2026-01-20,,pre_approved,2026-03-15,Pending PO
EP-26006,Vision Inspection Station,Design and commission a Cognex-based vision inspection station for label verification at packaging line exit.,,Cummins,T. Nguyen,T&E,881000,,,,,Automation,Kokomo East,2026-03-03,,pre_approved,2026-01-15,Pending PO
EP-26007,Batch System Validation,"Validate batching control system per ISA-88, including FAT/SAT documentation and recipe management updates.",,Subaru Indiana,M. Chen,Fixed,614000,,,,,Automation,Princeton Facility,2026-04-19,,pre_approved,2026-01-15,Pending PO
EP-26008,Safety System Upgrade Press Shop,"Upgrade press shop safety circuits to Cat 3 with light curtains, safety PLC, and updated lockout procedures.",,Subaru Indiana,T. Nguyen,Fixed,650000,,,,,Service,Greenfield Site,2026-05-15,,pre_approved,2026-01-15,Pending PO
EP-26009,MES Integration Phase 1,Integrate shop-floor PLCs with MES for downtime tracking and OEE reporting across three production lines.,,Toyota Boshoku,T. Nguyen,T&E,485000,,,,,Automation,Columbus South,2026-03-17,,pre_approved,2026-03-15,Pending PO
EP-26010,Compressor Room Controls,Replace pneumatic controls in compressor room with PLC-based sequencing and remote monitoring dashboard.,,Subaru Indiana,S. Reyes,Fixed,540000,,,,,Service,Columbus South,2026-03-08,,pre_approved,2026-01-15,Pending PO
EP-26011,Annual Service Contract - Plant 3,"Preventive maintenance and on-call controls support contract covering drives, PLCs, and HMIs.",,Subaru Indiana,J. Kowalski,T&E,311000,,,,,Service,Kokomo East,2026-02-18,,pre_approved,2026-03-15,Pending PO
EP-26012,Panel Shop Build - 12 Enclosures,Fabricate and wire twelve UL508A control enclosures for OEM customer per provided schematics.,,Stellantis Kokomo,R. Patel,Fixed,386000,,,,,Automation,Plant 3 - Lafayette,2026-02-19,,pre_approved,2026-03-15,Pending PO
EP-26013,Wastewater pH Control Upgrade,"Upgrade wastewater treatment pH control loop with new analyzers, dosing pumps, and PLC logic.",,Nucor Steel,R. Patel,Fixed,537000,,,,,FBI,Princeton Facility,2026-05-19,,pre_approved,2026-02-15,Pending PO
EP-26014,AGV Route Expansion,"Expand AGV routes into warehouse zone B with new navigation markers, traffic management logic, and charging station.",,ADM Processing,D. Okafor,T&E,729000,,,,,Service,Plant 3 - Lafayette,2026-01-13,,pre_approved,2026-01-15,Pending PO
EP-26015,Furnace Temperature Control Retrofit,"Retrofit heat-treat furnace with new thermocouples, PID controllers, and data logging for quality compliance.",,ADM Processing,J. Kowalski,T&E,117000,,,,,FBI,Kokomo East,2026-01-21,,pre_approved,2026-01-15,Pending PO
EP-26016,Legacy PLC Modernization - Assembly,"Replace aging PLC-5 controllers with modern ControlLogix hardware on assembly operations, converting I/O and revising operator screens.",,Stellantis Kokomo,D. Okafor,Fixed,208000,,,,,FBI,Plant 3 - Lafayette,2026-03-26,,pre_approved,2026-03-15,Pending PO
EP-26017,Plant SCADA Modernization,Move existing Wonderware supervisory system to current AVEVA platform; includes server redundancy and historian connection.,,Stellantis Kokomo,J. Kowalski,Fixed,99000,,,,,FBI,Kokomo East,2026-03-02,,pre_approved,2026-03-15,Pending PO
EP-26018,Weld Automation Cell - Body Shop,"Procure and integrate FANUC welding robots with guarding and fixtures, tied into the line control system.",,Eli Lilly,J. Kowalski,Fixed,731000,,,,,Service,Plant 3 - Lafayette,2026-05-08,,pre_approved,2026-03-15,Pending PO
EP-26019,Line 4 Conveyance Modernization,Upgrade Line 4 conveyor drives to VFDs with new sensors and zone-based speed control programming.,,Nucor Steel,M. Chen,Fixed,361000,,,,,Service,Princeton Facility,2026-02-22,,pre_approved,2026-02-15,Pending PO
EP-26020,Downtime Tracking System Rollout,Connect production line PLCs to manufacturing execution software for OEE and downtime data collection.,,Eli Lilly,R. Patel,Fixed,175000,,,,,Service,Columbus South,2026-03-10,,pre_approved,2026-03-15,Pending PO
