project_number,project_title,client,project_manager,price_type,total_value,hours_budgeted,balance_remaining,po_number,co_count,class_unit,status,description
EP-26001,PLC-5 to ControlLogix Migration,Magna Drivetrain,R. Patel,Fixed,371000,917,148400,PO-45991,0,Service,approved,"Migrate legacy PLC-5 processors to ControlLogix platform on the main assembly line, including I/O conversion and HMI updates."
EP-26002,SCADA System Upgrade,ADM Processing,S. Reyes,Fixed,259000,453,204610,PO-43943,0,Service,approved,Upgrade plant-wide SCADA from Wonderware 2014 to AVEVA System Platform with redundant servers and historian integration.
EP-26003,Robotic Weld Cell Install,Eli Lilly,M. Chen,Fixed,474000,542,85320,PO-49455,3,Automation,approved,"Install two FANUC robotic weld cells with safety fencing, tooling fixtures, and integration to existing line PLC."
EP-26004,Conveyor Retrofit Line 4,Subaru Indiana,D. Okafor,T&E,266000,490,50540,PO-42363,0,Service,approved,"Retrofit Line 4 conveyors with VFD-driven motors, new photo-eyes, and updated controls logic for variable speed zones."
EP-26005,Palletizer Controls Rebuild,Eli Lilly,M. Chen,T&E,355000,2594,237850,PO-41596,0,Service,approved,"Rebuild end-of-line palletizer control panel, replace obsolete drives, and reprogram for new case patterns."
EP-26006,Vision Inspection Station,Stellantis Kokomo,S. Reyes,T&E,101000,2835,64640,PO-47628,3,FBI,approved,Design and commission a Cognex-based vision inspection station for label verification at packaging line exit.
EP-26007,Batch System Validation,Cummins,R. Patel,T&E,346000,1317,231820,PO-48604,3,FBI,approved,"Validate batching control system per ISA-88, including FAT/SAT documentation and recipe management updates."
EP-26008,Safety System Upgrade Press Shop,Eli Lilly,R. Patel,T&E,786000,2138,424440,PO-42702,2,Automation,approved,"Upgrade press shop safety circuits to Cat 3 with light curtains, safety PLC, and updated lockout procedures."
EP-26009,MES Integration Phase 1,Eli Lilly,D. Okafor,T&E,540000,2027,459000,PO-45737,3,Service,approved,Integrate shop-floor PLCs with MES for downtime tracking and OEE reporting across three production lines.
EP-26010,Compressor Room Controls,Eli Lilly,D. Okafor,T&E,856000,2168,701920,PO-41064,0,Service,approved,Replace pneumatic controls in compressor room with PLC-based sequencing and remote monitoring dashboard.
EP-26011,Annual Service Contract - Plant 3,Stellantis Kokomo,D. Okafor,T&E,758000,1568,128860,PO-45685,0,FBI,approved,"Preventive maintenance and on-call controls support contract covering drives, PLCs, and HMIs."
EP-26012,Panel Shop Build - 12 Enclosures,Stellantis Kokomo,R. Patel,Fixed,403000,988,306280,PO-44709,1,Service,approved,Fabricate and wire twelve UL508A control enclosures for OEM customer per provided schematics.
EP-26013,Wastewater pH Control Upgrade,Stellantis Kokomo,R. Patel,Fixed,293000,1929,117200,PO-47359,3,Service,approved,"Upgrade wastewater treatment pH control loop with new analyzers, dosing pumps, and PLC logic."
EP-26014,AGV Route Expansion,Toyota Boshoku,S. Reyes,T&E,324000,860,113400,PO-46233,1,Automation,approved,"Expand AGV routes into warehouse zone B with new navigation markers, traffic management logic, and charging station."
EP-26015,Furnace Temperature Control Retrofit,Cummins,M. Chen,Fixed,124000,1021,88040,PO-47945,1,FBI,approved,"Retrofit heat-treat furnace with new thermocouples, PID controllers, and data logging for quality compliance."
EP-26016,Legacy PLC Modernization - Assembly,ADM Processing,D. Okafor,T&E,328000,316,236160,PO-42056,0,FBI,approved,"Replace aging PLC-5 controllers with modern ControlLogix hardware on assembly operations, converting I/O and revising operator screens."
EP-26017,Plant SCADA Modernization,ADM Processing,S. Reyes,T&E,838000,2590,335200,PO-41696,3,Service,approved,Move existing Wonderware supervisory system to current AVEVA platform; includes server redundancy and historian connection.
EP-26018,Weld Automation Cell - Body Shop,Eli Lilly,M. Chen,T&E,450000,554,297000,PO-42659,0,FBI,approved,"Procure and integrate FANUC welding robots with guarding and fixtures, tied into the line control system."
EP-26019,Line 4 Conveyance Modernization,Magna Drivetrain,M. Chen,Fixed,655000,515,504350,PO-45957,0,Automation,approved,Upgrade Line 4 conveyor drives to VFDs with new sensors and zone-based speed control programming.
EP-26020,Downtime Tracking System Rollout,Subaru Indiana,D. Okafor,T&E,252000,2815,105840,PO-49867,2,FBI,approved,Connect production line PLCs to manufacturing execution software for OEE and downtime data collection.
